Property	Purpose	Allowed values and restrictions
name	A user-definable string used to identify a #datasetField. Maps directly to field name used by Solr.	"- (from DatasetFieldType.java) The internal DDI-like name, no spaces, etc.
- (from Solr) Field names should consist of alphanumeric or underscore characters only and not start with a digit. This is not currently strictly enforced, but other field names will not have first class support from all components and back compatibility is not guaranteed. Names with both leading and trailing underscores (e.g. _version_) are reserved.
- Must not collide with a field of the same same name in another #metadataBlock definition or any name already included as a field in the Solr index."
title	Acts as a brief label for display related to this #datasetField.	Should be relatively brief.
description	Used to provide a description of the field.	Free text
watermark	A string to initially display in a field as a prompt for what the user should enter.	Free text
fieldType	"Defines the type of content that the field, if not empty, is meant to contain."	"- none
- date
- email
- text
- textbox
- url
- int
- float
- See below for fieldtype definitions"
displayOrder	"Controls the sequence in which the fields are displayed, both for input and presentation."	Non-negative integer.
displayFormat	"Controls how the content is displayed for presentation (not entry). The value of this field may contain one or more special variables (enumerated below). HTML tags, likely in conjunction with one or more of these values, may be used to control the display of content in the web UI."	See below for displayFormat variables
advancedSearchField	Specify whether this field is available in advanced search.	TRUE (available) or FALSE (not available)
allowControlledVocabulary	Specify whether the possible values of this field are determined by values in the #controlledVocabulary section.	TRUE (controlled) or FALSE (not controlled)
allowmultiples	Specify whether this field is repeatable.	TRUE (repeatable) or FALSE (not repeatable)
facetable	"Specify whether the field is facetable (i.e., if the expected values for this field are themselves useful search terms for this field). If a field is “facetable” (able to be faceted on), it appears under “Browse/Search Facets” when you edit “General Information” for a Dataverse collection. Setting this value to TRUE generally makes sense for enumerated or controlled vocabulary fields, fields representing identifiers (IDs, names, email addresses), and other fields that are likely to share values across entries. It is less likely to make sense for fields containing descriptions, floating point numbers, and other values that are likely to be unique."	TRUE (controlled) or FALSE (not controlled)
displayoncreate [5]_	"Designate fields that should display during the creation of a new dataset, even before the dataset is saved. Fields not so designated will not be displayed until the dataset has been saved."	TRUE (display during creation) or FALSE (don't display during creation)
required	"For primitive fields, specify whether or not the field is required.

For compound fields, also specify if one or more subfields are required or conditionally required. At least one instance of a required field must be present. More than one instance of a field may be allowed, depending on the value of allowmultiples.B15"	"For primitive fields, TRUE (required) or FALSE (optional).

For compound fields:

- To make one or more subfields optional, the parent field and subfield(s) must be FALSE (optional).
- To make one or more subfields required, the parent field and the required subfield(s) must be TRUE (required).
- To make one or more subfields conditionally required, make the parent field FALSE (optional) and make TRUE (required) any subfield or subfields that are required if any other subfields are filled.
"
parent	"For subfields, specify the name of the parent or containing field."	"- Must not result in a cyclical reference. 
- Must reference an existing field in the same #metadataBlock. "
metadatablock_id	Specify the name of the #metadataBlock that contains this field.	"- Must reference an existing #metadataBlock. 
- As a best practice, the value should reference the #metadataBlock in the current definition (it is technically possible to reference another existing metadata block.)"
termURI	"Specify a global URI identifying this term in an external community vocabulary.

This value overrides the default (created by appending the property name to the blockURI defined for the #metadataBlock)"	"For example, the existing citation #metadataBlock defines the property named 'title' as http://purl.org/dc/terms/title - i.e. indicating that it can be interpreted as the Dublin Core term 'title'"
