#metadataBlock	name	displayName												
	citation	Citation												
#datasetField	name	title	description	watermark	 fieldType	displayOrder	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	showabovefold	required	parent	metadatablock_id
	otherId	Other ID	Another unique identifier that identifies this dataset (e.g., producer's or archive's number).			1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation
	otherIdValue	Identifier	Other identifier that corresponds to this Dataset.		text	2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	otherId	citation
	otherIdAgency	Agency	Name of agency which generated this identifier.		text	3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	otherId	citation
	title	Title	Full title by which the Dataset is known.	Enter title here...	text	4	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE		citation
	author	Author	The person(s), corporate body(ies), or agency(ies) responsible for creating the work.		text	5	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		citation
	authorName	Name	Enter the author's Family Name, Given Name, or the name of the organization responsible for this dataset.	Family Name, Given Name or Organization Name	text	6	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	author	citation
	authorAffiliation	Affiliation	The organization with which the author is affiliated.		text	7	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	author	citation
	distributorContact	Contact E-mail	The e-mail address(es) of the contact(s) for the Dataset.		text	8	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE		citation
	description	Description	A summary describing the purpose, nature, and scope of the Dataset.		textbox	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE		citation
	keyword	Keyword	Free-form text that describe important aspects of the Dataset.		text	2	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE		citation
	subject	Subject	Select any Subject(s) that are relevant to the Dataset.		text	3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		citation
	notesText	Notes	Additional important information about the Dataset		textbox	4	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		citation
	publication	Related Publication	Publications that use the data from this Dataset.			5	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE		citation
	publicationCitation	Publication Citation	Provide the full bibliographic citation for this related publication.		textbox	6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	publication	citation
	publicationIDType	ID Type	The type of digital identifier used for this publication (e.g., Digital Object Identifier (DOI)).		text	7	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	publication	citation
	publicationIDNumber	ID Number	The actual identifier for the selected ID type.		text	8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	publication	citation
	publicationURL	URL	Link to the publication web page (in the journal site, archive site or other).		url	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	publication	citation
	contributor	Contributor	The institution or person  responsible for collecting,  managing, distributing, or  otherwise contributing to the  development of the resource.			10	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		citation
	contributorType	Type	The type of contributor of the  resource.  		text	11	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	contributor	citation
	contributorName	Name	The name of the contributor.		text	12	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	contributor	citation
	contributorAffiliation	Affilitation	If applicable, the organization with which the contributor is affiliated.		text	13	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	contributor	citation
	contributorAbbreviation	Abbreviation	If applicable, the abbreviation by which the contributor is commonly known. (ex. IQSS, ICPSR)		text	14	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	contributor	citation
	contributorURL	URL	This URL points to the conributor's web presence, if appropriate. Enter an absolute URL where the contributor's web site is found, e.g., http://www.my.org.		url	15	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	contributor	citation
