Id	Part2b	Part2t	Part1	Scope	Language_Type	Ref_Name	Comment
alu				I	L	'Are'are	
kud				I	L	'Auhelawa	
hnh				I	L	ǁAni	
gnk				I	L	ǁGana	
gwj				I	L	ǀGwi	
xam				I	E	ǀXam	
xeg				I	E	ǁXegwi	
huc				I	L	ǂHua	
gku				I	E	ǂUngkue	
nmn				I	L	ǃXóõ	
ahn				I	L	Àhàn	
acb				I	L	Áncá	
aom				I	L	Ömie	
oon				I	L	Önge	
apq				I	L	A-Pucikwar	
aou				I	L	A'ou	
aiw				I	L	Aari	
aas				I	L	Aasáx	
aba				I	L	Abé	
kbt				I	L	Abadi	
abg				I	L	Abaga	
abf				I	L	Abai Sungai	
abm				I	L	Abanyom	
mij				I	L	Abar	
aau				I	L	Abau	
abq				I	L	Abaza	
abp				I	L	Abellen Ayta	
abi				I	L	Abidji	
bsa				I	L	Abinomn	
axb				I	E	Abipon	
ash				I	E	Abishira	
abk	abk	abk	ab	I	L	Abkhazian	
aob				I	L	Abom	
abo				I	L	Abon	
abr				I	L	Abron	
ado				I	L	Abu	
aah				I	L	Abu' Arapesh	
abn				I	L	Abua	
abz				I	L	Abui	
kgr				I	L	Abun	
abu				I	L	Abure	
mgj				I	L	Abureni	
tpx				I	L	Acatepec Me'phaa	
guq				I	L	Aché	
aca				I	L	Achagua	
acn				I	L	Achang	
yif				I	L	Ache	
acz				I	L	Acheron	
acr				I	L	Achi	
ace	ace	ace		I	L	Achinese	
act				I	L	Achterhoeks	
acu				I	L	Achuar-Shiwiar	
acv				I	L	Achumawi	
ach	ach	ach		I	L	Acoli	
acs				I	E	Acroá	
xad				I	E	Adai	
fub				I	L	Adamawa Fulfulde	
ads				I	L	Adamorobe Sign Language	
adn				I	L	Adang	
adq				I	L	Adangbe	
ada	ada	ada		I	L	Adangme	
kad				I	L	Adara	
tiu				I	L	Adasen	
ade				I	L	Adele	
adh				I	L	Adhola	
adi				I	L	Adi	
wsg				I	L	Adilabad Gondi	
adj				I	L	Adioukrou	
dth				I	E	Adithinngithigh	
ort				I	L	Adivasi Oriya	
gas				I	L	Adiwasi Garasia	
adt				I	L	Adnyamathanha	
adr				I	L	Adonara	
adu				I	L	Aduge	
ady	ady	ady		I	L	Adyghe	
adz				I	L	Adzera	
aez				I	L	Aeka	
awi				I	L	Aekyom	
xae				I	H	Aequian	
aeq				I	L	Aer	
aal				I	L	Afade	
aar	aar	aar	aa	I	L	Afar	
afg				I	L	Afghan Sign Language	
aft				I	L	Afitti	
afh	afh	afh		I	C	Afrihili	
afr	afr	afr	af	I	L	Afrikaans	
afs				I	L	Afro-Seminole Creole	
agd				I	L	Agarabi	
agi				I	L	Agariya	
agc				I	L	Agatu	
avo				I	E	Agavotaguerra	
agq				I	L	Aghem	
ahh				I	L	Aghu	
gtu				I	E	Aghu-Tharnggala	
agx				I	L	Aghul	
xag				I	H	Aghwan	
aif				I	L	Agi	
kit				I	L	Agob	
ibm				I	L	Agoi	
agu				I	L	Aguacateco	
aga				I	E	Aguano	
agr				I	L	Aguaruna	
aug				I	L	Aguna	
msm				I	L	Agusan Manobo	
agn				I	L	Agutaynen	
yay				I	L	Agwagwune	
aha				I	L	Ahanta	
esg				I	L	Aheri Gondi	
thm				I	L	Aheu	
ahr				I	L	Ahirani	
aho				I	E	Ahom	
aht				I	L	Ahtena	
nfd				I	L	Ahwai	
aih				I	L	Ai-Cham	
aix				I	L	Aighon	
tba				I	L	Aikanã	
mwg				I	L	Aiklep	
aiq				I	L	Aimaq	
ail				I	L	Aimele	
aim				I	L	Aimol	
aic				I	L	Ainbai	
aib				I	L	Ainu (China)	
ain	ain	ain		I	L	Ainu (Japan)	
aki				I	L	Aiome	
air				I	L	Airoran	
aio				I	L	Aiton	
ajg				I	L	Aja (Benin)	
aja				I	L	Aja (South Sudan)	
ajw				I	E	Ajawa	
aji				I	L	Ajië	
muc				I	L	Ajumbu	
cpc				I	L	Ajyíninka Apurucayali	
akq				I	L	Ak	
soh				I	L	Aka	
abj				I	E	Aka-Bea	
akm				I	E	Aka-Bo	
aci				I	E	Aka-Cari	
akj				I	E	Aka-Jeru	
akx				I	E	Aka-Kede	
aky				I	E	Aka-Kol	
ack				I	E	Aka-Kora	
aka	aka	aka	ak	M	L	Akan	
acl				I	E	Akar-Bale	
aks				I	L	Akaselem	
ake				I	L	Akawaio	
aik				I	L	Ake	
keu				I	L	Akebu	
tsr				I	L	Akei	
aeu				I	L	Akeu	
ahk				I	L	Akha	
akv				I	L	Akhvakh	
akk	akk	akk		I	H	Akkadian	
sia				I	E	Akkala Sami	
akl				I	L	Aklanon	
akt				I	L	Akolet	
bss				I	L	Akoose	
miw				I	L	Akoye	
akf				I	L	Akpa	
ibe				I	L	Akpes	
afi				I	L	Akrukay	
spm				I	L	Akukem	
ayk				I	L	Akuku	
aku				I	L	Akum	
aqz				I	L	Akuntsu	
ako				I	L	Akurio	
akw				I	L	Akwa	
nqy				I	L	Akyaung Ari Naga	
syy				I	L	Al-Sayyid Bedouin Sign Language	
alw				I	L	Alaba-K’abeena	
akz				I	L	Alabama	
