,,Dataverse 4.0
Template Name,field_name,field_name
Alliance for Research on Corporate Sustainability,1Wereanyofthesedatasetsapurchasedbobtainedthroughlicenseddatabasesorcprovidedbyanorganizationunderanondisclosureorotheragreement,ARCS1
Alliance for Research on Corporate Sustainability,2IfyourespondedYestoQ1haveyouensuredthatsharingthedatadoesnotviolatetermsoftheagreementIfyourespondedNotoQ1pleaseenterNAhere,ARCS2
Alliance for Research on Corporate Sustainability,3DoanyofthesedatasetsincludeindividualleveldataeithercollectedorpreexistinginthedatasetthatmightmakethemsubjecttoUSorinternationalhumansubjectsconsiderations,ARCS3
Alliance for Research on Corporate Sustainability,4IfyourespondedYestoQ3arethesedatasetstotallydeidentifiedorwassharingapprovedbyyourinstitutionalreviewboardIRBIfyourespondedNotoQ3pleaseenterNAhere,ARCS4
Alliance for Research on Corporate Sustainability,5DothesedatasetscontainsensitiveorpersonallyidentifiableprivateinformationHarvardResearchDataSecurityPolicywwwsecurityharvardeduresearchdatasecuritypolicymayapplybecausethisDataverseishostedbyHarvardUniversity,ARCS5
Multi-donor trust fund within the Human Development Network to carry out and support research evaluating the impact of programs to alleviate poverty.,1Wereanyofthesedatasetsapurchasedbobtainedthroughlicenseddatabasesorcprovidedbyanorganizationunderanondisclosureorotheragreement,ARCS1
Multi-donor trust fund within the Human Development Network to carry out and support research evaluating the impact of programs to alleviate poverty.,2IfyourespondedYestoQ1haveyouensuredthatsharingthedatadoesnotviolatetermsoftheagreementIfyourespondedNotoQ1pleaseenterNAhere,ARCS2
Multi-donor trust fund within the Human Development Network to carry out and support research evaluating the impact of programs to alleviate poverty.,3DoanyofthesedatasetsincludeindividualleveldataeithercollectedorpreexistinginthedatasetthatmightmakethemsubjecttoUSorinternationalhumansubjectsconsiderations,ARCS3
Multi-donor trust fund within the Human Development Network to carry out and support research evaluating the impact of programs to alleviate poverty.,4IfyourespondedYestoQ3arethesedatasetstotallydeidentifiedorwassharingapprovedbyyourinstitutionalreviewboardIRBIfyourespondedNotoQ3pleaseenterNAhere,ARCS4
Multi-donor trust fund within the Human Development Network to carry out and support research evaluating the impact of programs to alleviate poverty.,5DothesedatasetscontainsensitiveorpersonallyidentifiableprivateinformationHarvardResearchDataSecurityPolicywwwsecurityharvardeduresearchdatasecuritypolicymayapplybecausethisDataverseishostedbyHarvardUniversity,ARCS5
Project TIER,1Wereanyofthesedatasetsapurchasedbobtainedthroughlicenseddatabasesorcprovidedbyanorganizationunderanondisclosureorotheragreement,ARCS1
Project TIER,2IfyourespondedYestoQ1haveyouensuredthatsharingthedatadoesnotviolatetermsoftheagreementIfyourespondedNotoQ1pleaseenterNAhere,ARCS2
Project TIER,3DoanyofthesedatasetsincludeindividualleveldataeithercollectedorpreexistinginthedatasetthatmightmakethemsubjecttoUSorinternationalhumansubjectsconsiderations,ARCS3
Project TIER,4IfyourespondedYestoQ3arethesedatasetstotallydeidentifiedorwassharingapprovedbyyourinstitutionalreviewboardIRBIfyourespondedNotoQ3pleaseenterNAhere,ARCS4
