name	alias	permissionRoot	subject	contactEmail	description	affiliation
PSI	psi	true	Social Science	psi@mailinator.com	PSI	PSI
China	psichina	true	Social Science	psi@mailinator.com	PSI	PSI
Russia	psirussia	true	Social Science	psi@mailinator.com	PSI	PSI
India	psiindia	true	Social Science	psi@mailinator.com	PSI	PSI
Haiti	psihaiti	true	Social Science	psi@mailinator.com	PSI	PSI
Laos	psilaos	true	Social Science	psi@mailinator.com	PSI	PSI
Nepal	psinepal	true	Social Science	psi@mailinator.com	PSI	PSI
Togo	psitogo	true	Social Science	psi@mailinator.com	PSI	PSI
Mali	psimali	true	Social Science	psi@mailinator.com	PSI	PSI
Mali Health	psimalihealth	true	Social Science	psi@mailinator.com	PSI	PSI
Women in Mali	psimaliwomen	true	Social Science	psi@mailinator.com	PSI	PSI
Child of Mali Health	psimalihealthchild	true	Social Science	psi@mailinator.com	PSI	PSI
Grandchild of Mali Health	psimalihealthgrandchild	true	Social Science	psi@mailinator.com	PSI	PSI
